protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,103.146.137.253,1081,Pakistan,PK,Karachi,elite,true,5.6,AS139879,Galaxy Broadband (pvt.) Ltd.,8600.83,1784279976.107005
http,103.115.196.98,8080,Pakistan,PK,Lahore,transparent,false,21.41,AS152605,AMBITIONS COMMUNICATION SYSTEM (SMC-PRIVATE) LIMITED,10434.97,1784279966.4793787
socks5,175.107.244.164,1080,Pakistan,PK,Karachi,elite,true,45.57,AS9541,Cyber Internet Services Pakistan,8083.88,1784279964.9162076
http,103.134.1.14,8080,Pakistan,PK,Multan,elite,true,32.19,AS138590,Prime Networks,1996.97,1784279964.3198164
socks4,110.38.234.74,1080,Pakistan,PK,Lahore,elite,true,67.2,AS38264,Wateen Telecom (Pvt.) Ltd,1774.81,1784279962.9867432
http,58.65.202.159,808,Pakistan,PK,Islamabad,transparent,true,35.11,AS9541,Cyber Internet Services Pakistan,2987.8,1784279947.4901164
socks5,103.121.120.242,1080,Pakistan,PK,Karachi,elite,true,67.73,AS131275,Logon Broadband Pvt. Limited,1757.25,1784279933.04135
http,182.176.164.41,8080,Pakistan,PK,Lahore,transparent,false,15.44,AS17557,Pakistan Telecommuication company limited,594.52,1784279914.3990157
http,182.185.165.125,8080,Pakistan,PK,Lahore,transparent,false,31.03,AS17557,Pakistan Telecommuication company limited,13456.31,1784279906.3535829
http,221.120.218.66,8080,Pakistan,PK,Tandlianwala,transparent,false,27.23,AS17557,PTCL ITI Lahore 11,12229.66,1784279872.7269003
socks4,202.142.169.142,1080,Pakistan,PK,Lahore,elite,true,58.67,AS9260,ITI Karachi Multinet,2279.76,1784280000.7372127
http,125.209.110.83,39617,Pakistan,PK,Karachi,elite,true,9.21,AS9260,Multinet 125-110/24,10390.66,1784279945.607868
http,154.208.58.89,8080,Pakistan,PK,Lahore,elite,false,10.47,AS150750,IN CABLE INTERNET PRIVATE LIMITED,13243.61,1784279938.283828
http,43.251.253.40,8080,Pakistan,PK,Lahore,transparent,false,30.5,AS136384,Optix Pakistan (Pvt.) Limited,615.85,1784279936.269946
socks5,103.236.134.210,1080,Pakistan,PK,Karachi,elite,true,73.22,AS38193,TRANSWORLD ASSOCIATES (PVT) LIMITED,1790.26,1784279904.1671534
http,103.79.16.44,50009,Pakistan,PK,Karachi,transparent,true,58.94,AS131275,Logon Broadband Pvt Ltd,3746.58,1784279829.0831957
http,121.91.60.68,8080,Pakistan,PK,Daultala,transparent,false,12.31,AS138423,CMPak Limited,10743.91,1784279759.4406197
